Year,Age,Sex,Population
1965,20-24,Female,88.1
1965,25-29,Male,74.6
1965,25-29,Female,74.2
1965,30-34,Male,74.3
1965,30-34,Female,73.9
1965,35-39,Male,77.8
1965,35-39,Female,79.4
1965,40-44,Male,82.0
1965,40-44,Female,83.2
1965,45-49,Male,84.9
1965,45-49,Female,83.5
1965,50-54,Male,84.0
1965,50-54,Female,79.7
1965,55-59,Male,74.5
1965,55-59,Female,70.5
1965,60-64,Male,62.3
1965,60-64,Female,63.2
1965,65-69,Male,54.4
1965,65-69,Female,57.9
1965,70-74,Male,42.7
1965,70-74,Female,48.1
1965,75-79,Male,29.0
1965,75-79,Female,34.0
1965,80-84,Male,16.0
1965,80-84,Female,19.9
1965,85+,Male,8.0
1965,85+,Female,11.9
1966,00,Male,32.5
1966,00,Female,31.1
1966,01-04,Male,128.8
1966,01-04,Female,123.5
1966,05-09,Male,152.4
1966,05-09,Female,146.5
1966,10-14,Male,145.6
1966,10-14,Female,139.8
1966,15-19,Male,133.3
1966,15-19,Female,126.0
1966,20-24,Male,94.7
1966,20-24,Female,90.6
1966,25-29,Male,75.0
1966,25-29,Female,74.3
1966,30-34,Male,73.8
1966,30-34,Female,72.8
1966,35-39,Male,76.5
1966,35-39,Female,77.8
1966,40-44,Male,81.0
1966,40-44,Female,82.4
1966,45-49,Male,83.6
1966,45-49,Female,82.9
1966,50-54,Male,84.3
1966,50-54,Female,80.6
1966,55-59,Male,75.8
1966,55-59,Female,71.2
1966,60-64,Male,61.6
1966,60-64,Female,62.2
1966,65-69,Male,55.0
1966,65-69,Female,59.2
1966,70-74,Male,42.2
1966,70-74,Female,47.9
1966,75-79,Male,28.7
1966,75-79,Female,34.1
1966,80-84,Male,15.8
1966,80-84,Female,19.8
1966,85+,Male,8.1
1966,85+,Female,12.2
1967,00,Male,31.0
1967,00,Female,29.2
1967,01-04,Male,130.3
1967,01-04,Female,125.1
1967,05-09,Male,154.1
1967,05-09,Female,148.0
1967,10-14,Male,146.7
1967,10-14,Female,140.9
1967,15-19,Male,133.9
1967,15-19,Female,126.8
1967,20-24,Male,97.6
1967,20-24,Female,93.4
1967,25-29,Male,77.4
1967,25-29,Female,76.5
1967,30-34,Male,74.4
1967,30-34,Female,73.0
1967,35-39,Male,76.3
1967,35-39,Female,76.9
1967,40-44,Male,80.0
1967,40-44,Female,81.2
1967,45-49,Male,82.8
1967,45-49,Female,82.4
1967,50-54,Male,83.4
1967,50-54,Female,80.2
1967,55-59,Male,76.3
1967,55-59,Female,72.1
1967,60-64,Male,62.9
1967,60-64,Female,62.8
1967,65-69,Male,54.9
1967,65-69,Female,58.8
1967,70-74,Male,42.6
1967,70-74,Female,49.1
1967,75-79,Male,28.5
1967,75-79,Female,34.0
1967,80-84,Male,15.8
1967,80-84,Female,20.0
1967,85+,Male,8.1
1967,85+,Female,12.3
1968,00,Male,30.9
1968,00,Female,29.2
1968,01-04,Male,130.1
1968,01-04,Female,124.6
1968,05-09,Male,155.6
1968,05-09,Female,149.4
1968,10-14,Male,147.7
1968,10-14,Female,141.9
1968,15-19,Male,134.3
1968,15-19,Female,127.5
1968,20-24,Male,100.5
1968,20-24,Female,96.0
1968,25-29,Male,79.8
1968,25-29,Female,78.3
1968,30-34,Male,74.9
1968,30-34,Female,73.2
1968,35-39,Male,75.9
1968,35-39,Female,76.0
1968,40-44,Male,79.1
1968,40-44,Female,79.7
1968,45-49,Male,81.8
1968,45-49,Female,81.7
1968,50-54,Male,82.4
1968,50-54,Female,79.8
1968,55-59,Male,76.6
1968,55-59,Female,73.0
1968,60-64,Male,64.0
1968,60-64,Female,63.4
1968,65-69,Male,54.7
1968,65-69,Female,58.3
1968,70-74,Male,43.1
1968,70-74,Female,50.3
1968,75-79,Male,28.3
1968,75-79,Female,33.9
1968,80-84,Male,15.7
1968,80-84,Female,20.1
1968,85+,Male,8.1
1968,85+,Female,12.4
1969,00,Male,31.6
1969,00,Female,30.4
1969,01-04,Male,129.0
1969,01-04,Female,122.9
1969,05-09,Male,157.1
1969,05-09,Female,150.7
1969,10-14,Male,148.6
1969,10-14,Female,143.0
1969,15-19,Male,134.7
1969,15-19,Female,128.2
1969,20-24,Male,103.2
1969,20-24,Female,98.8
1969,25-29,Male,82.2
1969,25-29,Female,80.3
1969,30-34,Male,75.2
1969,30-34,Female,73.5
1969,35-39,Male,75.7
1969,35-39,Female,74.9
1969,40-44,Male,77.9
1969,40-44,Female,78.4
1969,45-49,Male,80.9
1969,45-49,Female,81.1
1969,50-54,Male,81.4
1969,50-54,Female,79.3
1969,55-59,Male,77.1
1969,55-59,Female,73.8
1969,60-64,Male,65.2
1969,60-64,Female,64.1
1969,65-69,Male,54.6
1969,65-69,Female,57.7
1969,70-74,Male,43.5
1969,70-74,Female,51.5
1969,75-79,Male,28.2
1969,75-79,Female,33.8
1969,80-84,Male,15.8
1969,80-84,Female,20.2
1969,85+,Male,8.1
1969,85+,Female,12.6
1970,00,Male,30.9
1970,00,Female,32.6
1970,01-04,Male,130.2
1970,01-04,Female,120.7
1970,05-09,Male,159.3
1970,05-09,Female,152.7
1970,10-14,Male,150.2
1970,10-14,Female,144.6
1970,15-19,Male,135.5
1970,15-19,Female,129.4
1970,20-24,Male,106.6
1970,20-24,Female,101.9
1970,25-29,Male,84.8
1970,25-29,Female,82.7
1970,30-34,Male,76.0
1970,30-34,Female,73.9
1970,35-39,Male,75.5
1970,35-39,Female,74.3
1970,40-44,Male,77.2
1970,40-44,Female,77.3
1970,45-49,Male,80.1
1970,45-49,Female,80.8
1970,50-54,Male,80.7
1970,50-54,Female,79.1
1970,55-59,Male,77.7
1970,55-59,Female,75.1
1970,60-64,Male,66.6
1970,60-64,Female,65.0
1970,65-69,Male,54.6
